"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT5G50430",0,0,-3,0,0,0,0,0,0
"AT5G50440",0,0,-3,0,0,0,0,0,0
"AT5G50530",0,0,-3,0,0,0,0,0,0
"AT5G50900",0,0,3,0,0,0,0,0,0
"AT5G52200",0,0,-3,0,0,0,0,0,0
"AT5G52580",0,0,-3,0,0,0,0,0,0
"AT5G53310",0,0,-3,0,0,0,0,0,0
"AT5G53370",0,0,-3,0,0,0,0,0,0
"AT5G54730",0,0,3,0,0,0,0,0,0
"AT5G55850",0,0,-3,0,0,0,0,0,0
"AT5G57035",0,0,-3,0,0,0,0,0,0
"AT5G58320",0,0,3,0,0,0,0,0,0
"AT5G58670",0,0,-3,0,0,0,0,0,0
"AT5G58720",0,0,3,0,0,0,0,0,0
"AT5G58980",0,0,3,0,0,0,0,0,0
"AT5G59070",0,0,-3,0,0,0,0,0,0
"AT5G60820",0,0,-3,0,0,0,0,0,0
"AT5G61210",0,0,3,0,0,0,0,0,0
"AT5G61510",0,0,3,0,0,0,0,0,0
"AT5G61560",0,0,3,0,0,0,0,0,0
"AT5G62560",0,0,-3,0,0,0,0,0,0
"AT5G63030",0,0,-3,0,0,0,3,0,0
"AT5G63490",0,0,-3,0,0,0,0,0,0
"AT5G63640",0,0,3,0,0,0,0,0,0
"AT5G63905",0,0,3,0,0,0,0,0,0
"AT5G64410",0,0,-3,0,0,0,0,0,0
"AT5G65630",0,0,3,0,0,0,0,0,0
"AT5G66080",0,0,3,0,0,0,0,0,0
"AT5G66130",0,0,-3,0,0,0,0,0,0
"AT5G66730",0,0,3,0,0,0,0,0,0
"AT5G67250",0,0,-3,0,0,0,0,0,0
"AT5G67560",0,0,-3,0,0,0,0,0,0
"AT1G76130",0,0,0,-3,0,0,-3,0,0
"AT5G02230",0,0,0,3,-3,0,-3,0,0
"AT1G08650",0,0,0,0,-3,0,0,0,0
"AT1G51660",0,0,0,0,-3,0,0,0,0
"AT1G65960",0,0,0,0,3,0,0,0,0
"AT1G75280",0,0,0,0,3,0,0,0,0
"AT2G01680",0,0,0,0,3,0,0,0,0
"AT3G01560",0,0,0,0,-3,0,0,0,0
"AT3G04110",0,0,0,0,-3,0,0,0,0
"AT3G14270",0,0,0,0,3,0,0,0,0
"AT3G22370",0,0,0,0,-3,0,0,0,0
"AT3G47780",0,0,0,0,-3,0,0,0,0
"AT4G05050",0,0,0,0,3,0,0,0,0
"AT4G24400",0,0,0,0,-3,0,0,0,0
"AT4G32020",0,0,0,0,-3,0,0,0,0
"AT5G10180",0,0,0,0,3,0,-3,0,0
"AT5G49580",0,0,0,0,-3,0,0,0,0
"AT1G04770",0,0,0,0,0,-3,0,0,0
"AT1G51090",0,0,0,0,0,-3,0,0,0
"AT1G62180",0,0,0,0,0,-3,0,0,0
"AT1G70800",0,0,0,0,0,-3,0,0,0
"AT1G71360",0,0,0,0,0,3,0,0,0
"AT1G78100",0,0,0,0,0,-3,0,0,0
"AT1G80830",0,0,0,0,0,-3,0,0,0
"AT2G05518",0,0,0,0,0,-3,0,0,0
"AT2G20560",0,0,0,0,0,-3,0,0,0
"AT2G37460",0,0,0,0,0,-3,0,0,0
"AT3G03520",0,0,0,0,0,-3,0,0,0
"AT3G05165",0,0,0,0,0,-3,0,0,0
"AT3G08860",0,0,0,0,0,-3,0,0,0
"AT3G19550",0,0,0,0,0,-3,0,0,0
"AT3G44860",0,0,0,0,0,-3,0,0,0
"AT3G53000",0,0,0,0,0,-3,0,0,0
"AT4G04610",0,0,0,0,0,-3,0,0,0
"AT4G04830",0,0,0,0,0,-3,0,0,0
"AT4G14680",0,0,0,0,0,-3,0,0,0
"AT4G15530",0,0,0,0,0,-3,0,0,0
"AT4G33890",0,0,0,0,0,-3,0,0,0
"AT4G36648",0,0,0,0,0,-3,0,0,0
"AT5G03495",0,0,0,0,0,-3,-3,0,0
"AT5G07680",0,0,0,0,0,-3,0,0,0
"AT5G20150",0,0,0,0,0,-3,0,0,0
"AT5G23020",0,0,0,0,0,-3,0,0,0
"AT5G38710",0,0,0,0,0,-3,0,0,0
"AT5G44050",0,0,0,0,0,-3,0,0,0
"AT1G48300",0,0,0,0,0,0,-3,0,0
"AT1G49950",0,0,0,0,0,0,-3,0,0
"AT1G53160",0,0,0,0,0,0,-3,0,0
"AT1G72800",0,0,0,0,0,0,-3,0,0
"AT2G20500",0,0,0,0,0,0,-3,0,0
"AT3G24030",0,0,0,0,0,0,-3,0,0
