"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT4G15090",0,0,3,3,0,0,0,0,0
"AT4G17300",0,0,3,3,0,0,0,0,0
"AT4G17600",0,0,-3,3,0,0,0,0,0
"AT4G25550",0,0,-3,3,0,0,0,0,0
"AT4G26370",0,0,3,-3,0,0,0,0,0
"AT4G27440",0,0,3,-3,0,0,0,0,0
"AT4G28590",0,0,3,0,0,0,0,0,0
"AT4G30720",0,0,3,0,0,0,0,0,0
"AT4G30860",0,0,3,3,0,0,0,0,0
"AT4G33350",0,0,-3,3,0,0,0,0,0
"AT4G38020",0,0,-3,3,0,0,0,0,0
"AT4G38160",0,0,3,-3,0,0,0,0,0
"AT4G39040",0,0,3,-3,0,0,0,0,0
"AT5G02650",0,0,-3,3,0,0,0,0,0
"AT5G03940",0,0,-3,3,0,0,0,0,0
"AT5G04320",0,0,3,0,0,0,0,0,0
"AT5G14610",0,0,3,3,0,0,0,-3,0
"AT5G14910",0,0,-3,3,0,0,0,0,0
"AT5G16140",0,0,-3,3,0,0,0,0,0
"AT5G22340",0,0,-3,3,0,0,0,0,0
"AT5G24314",0,0,3,0,0,0,0,0,0
"AT5G24570",0,0,-3,3,0,0,0,0,0
"AT5G26670",0,0,-3,3,0,0,0,0,0
"AT5G28290",0,0,-3,-3,0,0,0,0,0
"AT5G30510",0,0,-3,3,0,0,0,0,0
"AT5G38360",0,0,-3,3,0,0,0,0,0
"AT5G38690",0,0,3,3,0,0,0,0,0
"AT5G44600",0,0,3,0,0,0,0,0,0
"AT5G45390",0,0,-3,3,0,0,0,0,0
"AT5G45600",0,0,3,3,0,0,0,0,0
"AT5G45920",0,0,-3,3,0,0,0,0,0
"AT5G48960",0,0,3,0,0,0,0,0,0
"AT5G50250",0,0,-3,3,0,0,0,0,0
"AT5G51100",0,0,-3,3,0,0,0,0,0
"AT5G52960",0,0,3,-3,0,0,0,0,0
"AT5G52970",0,0,-3,3,0,0,0,0,0
"AT5G53860",0,0,-3,-3,0,0,0,0,0
"AT5G53900",0,0,3,-3,0,0,0,0,0
"AT5G54600",0,0,-3,3,0,0,0,0,0
"AT5G55820",0,0,3,0,0,0,0,3,0
"AT5G57170",0,0,3,-3,0,0,0,0,0
"AT5G62500",0,0,-3,3,0,0,0,0,0
"AT5G62580",0,0,3,-3,0,0,0,0,0
"AT5G62720",0,0,-3,3,0,0,0,0,0
"AT5G67130",0,0,-3,-3,0,0,0,0,0
"AT1G01080",0,0,0,-3,0,0,0,0,0
"AT1G01860",0,0,0,-3,0,0,0,0,0
"AT1G01900",0,0,0,3,0,0,0,0,0
"AT1G02020",0,0,0,3,0,0,0,0,0
"AT1G02460",0,0,0,3,0,0,0,0,0
"AT1G02690",0,0,0,3,0,0,0,0,0
"AT1G02970",0,0,0,3,0,0,0,0,0
"AT1G03110",0,0,0,3,0,0,0,0,0
"AT1G03475",0,0,0,3,0,0,0,0,0
"AT1G03630",0,0,0,-3,0,0,0,0,0
"AT1G04020",0,0,0,3,0,0,0,0,0
"AT1G04540",0,0,0,3,0,0,0,0,0
"AT1G04730",0,0,0,3,0,0,0,0,0
"AT1G04870",0,0,0,3,0,0,0,0,0
"AT1G06190",0,0,0,-3,0,0,0,0,0
"AT1G06550",0,0,0,-3,0,0,0,0,0
"AT1G06950",0,0,0,3,0,0,0,0,0
"AT1G07320",0,0,0,-3,0,0,0,0,0
"AT1G07370",0,0,0,3,0,0,0,0,0
"AT1G07790",0,0,0,3,0,0,0,0,0
"AT1G08260",0,0,0,3,0,0,0,0,0
"AT1G08360",0,0,0,3,0,0,0,-3,0
"AT1G08640",0,0,0,-3,0,0,0,0,0
"AT1G09590",0,0,0,3,0,0,0,0,0
"AT1G09690",0,0,0,3,0,0,0,0,0
"AT1G48520",0,0,0,-3,0,0,0,0,0
"AT1G49760",0,0,0,3,0,0,0,0,0
"AT1G50240",0,0,0,3,0,0,0,0,0
"AT1G50450",0,0,0,-3,0,0,0,0,0
"AT1G53250",0,0,0,-3,0,0,0,0,0
"AT1G53800",0,0,0,-3,0,0,0,0,0
"AT1G53920",0,0,0,3,0,0,0,0,0
"AT1G54310",0,0,0,3,0,0,0,0,0
"AT1G54385",0,0,0,3,0,0,0,0,0
"AT1G55490",0,0,0,3,0,0,0,0,0
"AT1G56170",0,0,0,-3,0,0,0,0,0
"AT1G56570",0,0,0,3,0,0,0,0,0
"AT1G58170",0,0,0,3,0,0,0,0,0
"AT1G59840",0,0,0,-3,0,0,0,0,0
"AT1G60230",0,0,0,3,0,0,0,0,0
"AT1G60590",0,0,0,3,0,0,0,0,0
"AT1G60890",0,0,0,-3,0,0,0,0,0
"AT1G62780",0,0,0,-3,0,0,0,0,0
"AT1G62930",0,0,0,3,0,0,0,0,0
"AT1G63650",0,0,0,3,0,0,0,0,0
"AT1G64510",0,0,0,-3,0,0,0,0,0
"AT1G65060",0,0,0,3,0,0,0,0,0
"AT1G65470",0,0,0,3,0,0,0,0,0
"AT1G66250",0,0,0,3,0,0,0,0,0
"AT1G67320",0,0,0,3,0,0,0,0,0
