Gene	induced	time 
AT1G73720	FALSE	none
AT1G73830	FALSE	none
AT1G73870	TRUE	none
AT1G74030	TRUE	none
AT1G74070	TRUE	none
AT1G74090	TRUE	none
AT1G74100	TRUE	none
AT1G74160	TRUE	day
AT1G74310	TRUE	night
AT1G74430	TRUE	day
AT1G74440	FALSE	none
AT1G74640	TRUE	day
AT1G74670	FALSE	none
AT1G74720	TRUE	day
AT1G74730	TRUE	day
AT1G74740	FALSE	none
AT1G74750	TRUE	day
AT1G74780	TRUE	day
AT1G74840	FALSE	day
AT1G74910	FALSE	none
AT1G74950	TRUE	day
AT1G75040	TRUE	none
AT1G75080;AT1G19350	FALSE	night
AT1G75100	TRUE	none
AT1G75170	TRUE	none
AT1G75180	FALSE	none
AT1G75190	FALSE	none
AT1G75220	FALSE	none
AT1G75270	TRUE	day
AT1G75280	TRUE	day
AT1G75370	TRUE	day
AT1G75460	TRUE	day
AT1G75490	FALSE	day
AT1G75580	TRUE	day
AT1G75710	TRUE	day
AT1G75750	FALSE	none
AT1G75800	FALSE	none
AT1G75960	TRUE	day
AT1G76080	TRUE	day
AT1G76090	FALSE	none
AT1G76130	TRUE	day
AT1G76150	FALSE	none
AT1G76240	TRUE	day
AT1G76270	TRUE	day
AT1G76350	TRUE	day
AT1G76360	TRUE	day
AT1G76405	FALSE	none
AT1G76410	FALSE	day
AT1G76490	FALSE	none
AT1G76520	FALSE	night
AT1G76530	TRUE	none
AT1G76560	FALSE	day
AT1G76570	TRUE	day
AT1G76590	FALSE	day
AT1G76600	FALSE	day
AT1G76620	TRUE	none
AT1G76700;AT1G76690;AT1G76680	TRUE	day
AT1G76710	FALSE	none
AT1G76890	FALSE	none
AT1G76920	FALSE	none
AT1G76970	TRUE	day
AT1G77000	FALSE	day
AT1G77020	FALSE	none
AT1G77090	TRUE	day
AT1G77110	TRUE	day
AT1G77180	FALSE	none
AT1G77210	FALSE	day
AT1G77220	FALSE	none
AT1G77230	TRUE	none
AT1G77260	TRUE	day
AT1G77280	TRUE	none
AT1G77450	TRUE	day
AT1G77600	TRUE	none
AT1G77610	TRUE	day
AT1G77640	FALSE	none
AT1G77740	TRUE	none
AT1G78020	TRUE	day
AT1G78050	TRUE	none
AT1G78050;AT1G78060	TRUE	none
AT1G78070	TRUE	day
AT1G78100	TRUE	day
